Lab.ID,Sample.ID,source,pretreat,Mean.13C,X1s.13C,Mean.14C.Age..BP.,X1s.14C.Age..BP.,X1s.range.lower.Calibrated.Age..cal.BP..a.,X1s.range.upper.Calibrated.Age..cal.BP..a.,X2s.range.lower.Calibrated.Age..cal.BP..a.,X2s.upper.Calibrated.Age..cal.BP..a.,Median,Depth.mbs,square,spit,SF,c14_sample_code,c14_sample_code_num,square_spit,to_match,tmp,Description,Easting,Northing,Elevation,X,Y,Xnew,Ynew,Xnew_flipped,depth_below_ground_surface,depth_below_surface,Bchron_95perc_cred_int_2.5,Bchron_95perc_cred_int_97.5,Bchron_Median
OZQ460,C14X14-E4/6A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.8,0.1,330,20,440,315,465,305,385,0.199732,E4,6A,0,C14X14,X14,E4_6A_,X14,E4_6A_SF0,PF_E4_6_C14X14,5000.697748,5013.271681,100.528006,1.5089450606337778,0.8672463408865951,0.4243565072342239,1.6878841685851058,-0.4243565072342239,0.16520699999999522,-0.16520699999999522,315,461,388
OZQ463,C14X196-C2/37A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.4,0.1,24520,100,29520,29280,29660,28600,29390,1.896983,C2,37A,0,C14X196,X196,C2_37A_,X196,C2_37A_SF0,P_C2_37A_C14X196,5000.16286,5010.631983,98.736268,0.97405706063455,-1.772451659113358,1.951631913050991,-0.5305703697217209,-1.951631913050991,1.9569450000000046,-1.9569450000000046,28384,28733,28558.5
OZQ464,C14X2-C3/4,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.1,0.1,145,20,275,10,285,5,150,0.137827,C3,4,0,C14X2,X2,C3_4_,X2,C3_4_SF0,PF_C3_4_C14X2,4999.671408,5011.236594,100.615078,0.4826050606343415,-1.1678406591136081,1.1753199115496589,-0.46409326125649064,-1.1753199115496589,0.07813500000000317,-0.07813500000000317,13,272,142.5
OZQ466,C14X221-D2/38,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.8,0.1,31370,170,36350,35420,36450,35210,35800,2.019678,D2,38,0,C14X221,X221,D2_38_,X221,D2_38_SF0,P_ D2_38_CX221,5001.032991,5011.826643,98.690722,1.8441880606342238,-0.5777916591132453,1.6967092097239682,0.9252300589391392,-1.6967092097239682,2.0024910000000062,-2.0024910000000062,34912,35595,35253.5
OZQ469,C14X228-E2/34,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-22.5,0.1,28200,130,32800,32130,33020,31820,32450,1.779469,E2,34,0,C14X228,X228,E2_34_,X228,E2_34_SF0,P_E2_34_C14X228,5001.336493,5012.431583,98.958046,2.147690060633977,0.02714834088601492,1.472381995658512,1.563777761646295,-1.472381995658512,1.7351670000000041,-1.7351670000000041,31621,32509,32065
OZQ470,C14X229-E2/38,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-23.1,0.1,31850,170,36650,36300,36760,35570,36440,2.036075,E2,38,0,C14X229,X229,E2_38_,X229,E2_38_SF0,PF_E2_38_C14X229,5001.906843,5012.083331,98.685602,2.718040060633939,-0.32110365911375993,2.119091921397149,1.732137049940487,-2.119091921397149,2.007610999999997,-2.007610999999997,35377,36108,35742.5
OZQ471,C14X3-B3/5,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-24.4,0.1,775,20,725,675,730,670,700,0.152151,B3,5,0,C14X3,X3,B3_5_,X3,B3_5_SF0,PF_B3_5_C14X3,4999.069309,5010.901573,100.554474,-0.119493939365384,-1.5028616591134778,0.9980607406040191,-1.1299321776298479,-0.9980607406040191,0.13873900000000106,-0.13873900000000106,677,727,702
OZQ472,C14X72-D3/16,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.5,0.1,7485,35,8375,8215,8380,8200,8315,0.72421,D3,16,0,C14X72,X72,D3_16_,X72,D3_16_SF0,PF_D3_16_C14X72,5000.141588,5012.192163,99.985808,0.9527850606341417,-0.21227165911341217,0.814555570501986,0.5379199304678624,-0.814555570501986,0.7074049999999943,-0.7074049999999943,8207,8375,8291
OZQ508,C14X1-C2/4,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-24.6,0.1,175,20,285,0,290,0,185,0.128003,C2,4,0,C14X1,X1,C2_4_,X1,C2_4_SF0,PF_C2_4_C14X1,5000.096938,5011.01641,100.571753,0.9081350606338674,-1.3880246591133982,1.629305002528361,-0.31094525465972356,-1.629305002528361,0.12145999999999901,-0.12145999999999901,4,281,142.5
OZQ509,C14X105-C2/21,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-26.1,0.1,8255,35,9300,9135,9405,9090,9235,1.009947,C2,21,0,C14X105,X105,C2_21_,X105,C2_21_SF0,PF_C2_21AC14X105,5000.649335,5010.814218,99.712834,1.4605320606342502,-1.590216659113139,2.158476955304952,-0.054038472211443755,-2.158476955304952,0.9803789999999992,-0.9803789999999992,9117,9390,9253.5
OZQ510,C14X126-C3/25,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-24.3,0.1,16130,40,19440,18990,19450,18930,19300,1.184901,C3,25,0,C14X126,X126,C3_25_,X126,C3_25_SF0,PF_C3_25_C14X126,4999.363675,5011.692949,99.512854,0.17487206063378835,-0.7114856591133503,0.6332762926490854,-0.36844703538350776,-0.6332762926490854,1.1803589999999957,-1.1803589999999957,19370,19559,19464.5
OZQ512,C14X158-C1/29,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-22.9,0.1,23270,70,28290,27920,28480,27810,28120,1.578845,C1,29,0,C14X158,X158,C1_29_,X158,C1_29_SF0,PL_C1_29_C14X158,5001.252435,5010.650291,99.132624,2.063632060634518,-1.7541436591136517,2.695344633979442,0.265922098678401,-2.695344633979442,1.5605889999999931,-1.5605889999999931,27432,27614,27523
OZQ513,C14X177-C2/33A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-23.5,0.1,28640,140,33320,32870,33570,32410,33080,1.76381,C2,33A,0,C14X177,X177,C2_33A_,X177,C2_33A_SF0,P_C2_33A_C14X177,5000.920578,5010.627921,98.913125,1.7317750606343907,-1.7765136591133341,2.4809090224672894,0.0116646428103786,-2.4809090224672894,1.7800880000000063,-1.7800880000000063,32200.975000000002,33148,32674.487500000003
OZQ516,C14X220-C2/38A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-22.9,0.3,31650,180,36540,35620,36640,35350,36190,1.994,C2,38A,0,C14X220,X220,C2_38A_,X220,C2_38A_SF0,P_ C2_38A_CX220,5000.905235,5011.088916,98.672678,1.7164320606343608,-1.3155186591138772,2.1386388278325903,0.3208618477431294,-2.1386388278325903,2.0205349999999953,-2.0205349999999953,35140,35935.025,35537.5125
OZQ697,C14X197 B2/38A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-23.5,0.1,24130,90,29200,28730,29340,28520,28950,1.95518,B2,38A,0,C14X197,X197,B2_38A_,X197,B2_38A_SF0,P_ B2_38_C14X197,4999.90872,5010.739769,98.733231,0.7199170606345433,-1.6646656591137798,1.6975566750635385,-0.6385089394617902,-1.6975566750635385,1.9599819999999966,-1.9599819999999966,27954,28369,28161.5
OZQ698,C14X198 B1/39,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-24.6,0.1,31950,140,36660,36390,36810,35690,36520,2.097115,B1,39,0,C14X198,X198,B1_39_,X198,B1_39_SF0,P_B1_39_C14X198,5001.001005,5009.7713890000005,98.609238,1.812202060634263,-2.6330456591131224,3.1529158690916197,-0.5254781384337153,-3.1529158690916197,2.0839749999999952,-2.0839749999999952,35571,36132,35851.5
OZR149,C14X29 D3/9,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-23.3,0.1,1555,25,1515,1405,1525,1385,1465,0.370774,D3,9,0,C14X29,X29,D3_9_,X29,D3_9_SF0,PF_D3_9_C14X29,5000.331902,5012.453485,100.333135,1.1430990606340856,0.04905034088642424,0.7587794683135013,0.8563498799144446,-0.7587794683135013,0.36007800000000145,-0.36007800000000145,1391.975,1521,1456.4875
OZT582,C4/5 C14X4,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(b),-24.8,0.1,170,25,285,5,290,0,180,NA,C4,5,0,C14X4,X_4,C4_5_,X_4,C4_5_SF0,PF_C4_5_C14X_4,4999.336611,5012.409444,100.572939,0.14780806063390628,0.005009340886317659,0.09907268826766202,0.10980400140200043,-0.09907268826766202,0.12027399999999489,-0.12027399999999489,4,280,142
OZT583,C4/9 C14X26,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(b),-25.3,0.1,3550,25,3890,3780,3915,3720,3850,NA,C4,9,0,C14X26,X26,C4_9_,X26,C4_9_SF0,PF_C4_9_C14X26,4999.046808,5011.955981,100.341795,-0.1419949393657589,-0.4484536591135111,0.22395259241460833,-0.4136646993986302,-0.22395259241460833,0.35141799999999535,-0.35141799999999535,3734.9750000000004,3900,3817.4875
OZT584,C3/17 C14X76,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(b),-27.2,0.1,7935,35,8955,8645,8980,8635,8775,NA,C3,17,0,C14X76,X76,C3_17_,X76,C3_17_SF0,PF_C3_17_C14X76,4999.8002369999995,5011.342209,99.956208,0.6114340606341102,-1.0622256591136647,1.1888389817446345,-0.2980550903228413,-1.1888389817446345,0.7370049999999964,-0.7370049999999964,8642,8971,8806.5
OZT586,C4/23 C14X114,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(c),-25,0.1,14160,50,17350,17120,17460,17040,17240,NA,C4,23,0,C14X114,X114,C4_23_,X114,C4_23_SF0,PF_C4_23_C14X114,4999.581593,5012.344751,99.64648,0.39279006063406996,-0.05968365911394358,0.3157877348830581,0.24108977040839621,-0.3157877348830581,1.0467330000000032,-1.0467330000000032,17094.975000000002,17391,17242.987500000003
OZT587,C4/26A C14X132,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(c),-24.4,0.1,17990,60,21900,21680,22000,21560,21790,NA,C4,26A,0,C14X132,X132,C4_26A_,X132,C4_26A_SF0,PF_C426A_C14X132,4999.473664,5012.112636,99.457949,0.2848610606342845,-0.2917986591137378,0.407783509373396,0.0022115174388530057,-0.407783509373396,1.2352640000000008,-1.2352640000000008,21641,21910,21775.5
