Sample,Depth below surface (m).x,Water (%)#,Environmental dose rate (Gy/kyr),...5,...6,...7,De value (Gy)$,Number of grains*,OD (%)&,osl_age.x,other1,osl_error.x,other2,Depth below surface (m).y,Water (%),EDR_Beta,EDR_Gamma,EDR_Cosmic,EDR_total,De value (Gy),Number of grains,OD (%),Age (ka),Sample.y,upper,lower,Elevation,Easting,Northing,year,X,Y,Xnew,Ynew,Xnew_flipped,Description,type,square,spit,cnr,find,findn,depth_below_ground_surface,total_station_depth_below_surf,osl_age.y,osl_error.y,osl_age,osl_error
NA,NA,NA,Beta,Gamma,Cosmic,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW7C,2.89,1.2,0.23 ± 0.02,0.37 ± 0.02,6.9000000000000006E-2,0.70 ± 0.03,55.4 ± 1.2,116/500 (99),23 ± 2,79.0,±,4.3,(3.3),-2.89,1.2,0.23 ± 0.02,0.27 ± 0.02,0.069,0.61 ± 0.03,55.4 ± 1.2,116/500 (99),23 ± 2,91.2 ± 5.3,NA,NA,NA,97.803323,4997.350492,5012.277244,2015,-1.838310939366238,-0.12719065911369398,-1.1855047782053136,-1.4107242800815922,1.1855047782053136,OSL_B5_SW_7C,OSL,B5,SW,,,,2.889889999999994,-2.88988999999999,91.2,5.3,79,4.3
SW14A,2.75,<1,0.22 ± 0.02,0.26 ± 0.01,6.0999999999999999E-2,0.57 ± 0.03,46.8 ± 0.9,166/500 (150),21 ± 2,81.6,±,4.6,(3.7),-2.75,<1,0.22 ± 0.02,0.26 ± 0.01,0.061,0.57 ± 0.03,46.8 ± 0.9,166/500 (150),21 ± 2,81.6 ± 4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75,81.6,4.6,81.6,4.6
SW6C,2.74,<1,0.27 ± 0.02,0.27 ± 0.02,7.0000000000000007E-2,0.64 ± 0.03,49.8 ± 1.3,136/500 (116),24 ± 2,77.6,±,4.5,(3.7),-2.74,<1,0.27 ± 0.02,0.27 ± 0.02,0.070,0.64 ± 0.03,49.8 ± 1.3,136/500 (116),24 ± 2,77.6 ± 4.5,NA,NA,NA,97.949321,4997.331514,5012.248609,2015,-1.8572889393653895,-0.15582565911336133,-1.178089709576837,-1.444267453249671,1.178089709576837,OSL_B5_SW_6C,OSL,B5,SW,,,,2.7438920000000024,-2.743892,77.6,4.5,77.6,4.5
SW8C,2.71,<1,0.39 ± 0.02,0.39 ± 0.02,7.9000000000000001E-2,0.90 ± 0.04,63.2 ± 1.7,92/500 (78),19 ± 2,70.4,±,3.7,(2.9),-2.71,<1,0.39 ± 0.02,0.39 ± 0.02,0.079,0.90 ± 0.04,63.2 ± 1.7,92/500 (78),19 ± 2,70.4 ± 3.7,NA,NA,NA,97.979646,4996.739601,5013.049687,2015,-2.4492019393655937,0.6452523408861452,-2.1655143181858065,-1.31357849439746,2.1655143181858065,OSL_B6_SW_8C,OSL,B6,SW,,,,2.7135669999999976,-2.713567,70.4,3.7,70.4,3.7
SW5C,2.62,<1,0.26 ± 0.02,0.31 ± 0.02,7.0999999999999994E-2,0.67 ± 0.03,48.5 ± 1.1,149/500 (130),24 ± 2,72.7,±,4.1,(3.3),-2.62,<1,0.26 ± 0.02,0.31 ± 0.02,0.071,0.67 ± 0.03,48.5 ± 1.1,149/500 (130),24 ± 2,72.7 ± 4.1,NA,NA,NA,98.068781,4997.304095,5012.262343,2015,-1.8847079393653985,-0.14209165911324817,-1.2070159602543908,-1.4544505931752005,1.2070159602543908,OSL_B5_SW_5C,OSL,B5,SW,,,,2.6244319999999988,-2.624432,72.7,4.1,72.7,4.1
SW4C,2.54,<1,0.31 ± 0.02,0.31 ± 0.01,7.0999999999999994E-2,0.70 ± 0.03,44.1 ± 1.2,112/500 (100),25 ± 2,62.7,±,3.5,(2.7),-2.54,<1,0.31 ± 0.02,0.34 ± 0.02,0.071,0.75 ± 0.03,44.1 ± 1.2,112/500 (100),25 ± 2,59.2 ± 3.3,NA,NA,NA,98.152646,4997.292949,5012.261517,2015,-1.895853939366134,-0.14291765911366383,-1.214164447776659,-1.4630421424045923,1.214164447776659,OSL_B5_SW_4C,OSL,B5,SW,,,,2.540566999999996,-2.540567,59.2,3.3,62.7,3.5
KTL162,2.52,—,0.25 ± 0.04,0.31 ± 0.05,6.3E-2,0.66 ± 0.09,41.2 ± 0.6,282/1000 (226),18 ± 1,62.3,±,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.52,NA,NA,62.3,8.7
SW3C,2.5,<1,0.34 ± 0.02,0.30 ± 0.01,7.1999999999999995E-2,0.74 ± 0.03,47.1 ± 1.0,142/500 (116),19 ± 2,64.0,±,3.5,(2.5),-2.50,<1,0.34 ± 0.02,0.35 ± 0.02,0.072,0.79 ± 0.03,47.1 ± 1.0,142/500 (116),19 ± 2,60.0 ± 3.2,NA,NA,NA,98.19306,4997.394823,5012.195859,2015,-1.7939799393661815,-0.20857565911319398,-1.096166408334255,-1.435369998872197,1.096166408334255,OSL_B5_SW_3C,OSL,B5,SW,,,,2.5001529999999974,-2.500153,60,3.2,64,3.5
NW14,2.5,2.7,0.23 ± 0.02,0.31 ±0.01,6.4000000000000001E-2,0.64 ± 0.03,40.3 ± 1.0,131/400 (108),22 ± 2,62.8,±,3.5,(2.7),-2.50,2.7,0.23 ± 0.02,0.27 ±0.01,0.064,0.59 ± 0.03,40.3 ± 1.0,131/400 (108),22 ± 2,67.8 ± 3.9,NA,NA,NA,98.194763,4998.987217,5012.690446,2012,-0.20158593936594116,0.2860113408860343,-0.34577270099494073,0.05367138261810986,0.34577270099494073,OSL_NW14,OSL,NW14,NA,NA,,,2.4984500000000054,-2.49845000000001,67.8,3.9,62.8,3.5
